,rating,brand_name,product_category,parent_category,idx_size,cost_usd,bow
12346,b+,chloe,crossbody bag,bag,10,641.56,kurtis crossbody bag brown leather  calf kurtis  
12347,ab,chloe,satchel,bag,15,459.9,leather paraty satchel beige leather  calf paraty  
12348,ab,chloe,crossbody bag,bag,large,459.9,leather lexa large shoulder bag black leather  calf lexa  
12349,ab,fendi,tote bag,bag,petite,728.18,printed 2jours leather satchel multicolor leather  calf 2jours  
12350,ab,fendi,tote bag,bag,medium,705.97,2jours leather satchel pink leather  calf 2jours  
12351,ab,fendi,bucket bag,bag,mini,961.64,calfskin mon tresor mini bag brown leather  calf mon tresor 
12352,ab,fendi,baguette,bag,micro,494.22,calfskin leather bugs mico baguette blue leather  lambskin monster baguette 
12353,b,fendi,shoulder bag,bag,12,128.77,zucca leather chef shoulder bag dark brown leather  lambskin zucca chef 
12354,b+,fendi,tote bag,bag,medium,306.6,medium 2jours leather satchel dark red leather  calf 2jours  
12355,b+,fendi,satchel,bag,6,344.93,calfskin demi jour shoulder bag white leather  calf demi jour 
12356,ab,fendi,satchel,bag,medium,536.55,2jours leather satchel blue leather  calf 2jours  
12357,ab,fendi,satchel,bag,12,306.6,leather chameleon satchel brown leather  calf chameleon  
12358,ab,fendi,satchel,bag,medium,620.87,2jours leather satchel pink leather  calf 2jours  
12359,ab,fendi,satchel,bag,medium,843.15,pre-owned fendi dotcom light brown leather  calf dotcom  
12360,b,givenchy,crossbody bag,bag,14,266.39,leather crossbody bag brown leather  calf calf leather crossbody
12361,ab,givenchy,backpack,bag,11,630.75,pre-owned givenchy obsedia backpack black fabric  nylon obsedia nylon backpack
12362,b,givenchy,satchel,bag,9,486.73,leather nightingale satchel black leather  calf nightingale  
12363,ab,givenchy,tote bag,bag,15,500.72,calfskin basic medium tote black leather  calf love tote 
12364,b,givenchy,crossbody bag,bag,7,254.06,calfskin pandora chain crossbody dark red leather  calf pandora crossbody 
12365,b,givenchy,satchel,bag,15,344.93,leather nightingale satchel light pink leather  calf nightingale  
12366,b,givenchy,satchel,bag,15,303.53,leather nightingale satchel green leather  calf nightingale  
12367,b+,givenchy,satchel,bag,13,383.25,leather nightingale satchel black leather  calf nightingale  
12368,b+,gucci,clutch bag,bag,5,306.6,metallic leather tassel clutch bag gray leather  calf sienna  
12369,b,gucci,tote bag,bag,9,229.95,gg canvas web shoulder bag beige fabric  canvas gg canvas web
12370,ab,gucci,tote bag,bag,11,183.96,microguccissima patent leather nice tote bag beige leather  patent microguccissima nice 
12371,b,gucci,tote bag,bag,medium,239.62,leather swing tote pink leather  calf swing  
12372,b,gucci,boston bag,bag,7,165.36,gg canvas abbey boston bag light pink fabric  canvas abbey gg canvas
12373,ab,gucci,shoulder bag,bag,15,344.93,python leather greenwich shoulder bag light brown exotic  snake greenwich  
12374,ab,hermes,shoulder bag,bag,9,613.2,taurillon clemence doremi purple leather  calf clemence doremi 
12375,ab,hermes,tote bag,bag,12,400.99,canvas beach tote bag pink fabric  canvas beach  
12378,b+,jimmy choo,hobo bag,bag,16,114.98,suede hobo bag brown leather  suede tatum  
12379,ab,jimmy choo,handbag,bag,10,344.93,leather handbag red exotic  snake snake leather handbag
12380,b+,lanvin,satchel,bag,8,226.12,leather shoulder bag orange leather  calf leather satchel 
12404,b+,miu miu,handbag,bag,15,268.28,vitello bauletto light brown leather  lambskin bow vitello shine
12405,b,miu miu,satchel,bag,12,303.53,vitello lux bow satchel black leather  lambskin bow vitello lux
12418,b,prada,shoulder bag,bag,8,229.95,nylon shoulder bag brown fabric  nylon vela handbag 
12419,b,prada,shoulder bag,bag,9,401.65,vitello daino sound lock shoulder bag dark brown leather  calf vitello daino shoulder
12420,b,prada,handbag,bag,medium,536.55,saffiano lux handbag light pink leather  calf saffiano lux promenade
12421,b+,prada,satchel,bag,10,689.85,caflskin stitched satchel dark blue leather  calf city twin pocket
12422,ab,prada,tote bag,bag,14,383.25,vitello daino leather satchel red leather  calf vittelo daino satchel
12423,ab,prada,tote bag,bag,9,498.23,topstitched double zip city calf dark blue leather  calf city calf double
12424,b+,prada,tote bag,bag,13,504.04,saffiano vernice tote bag purple leather  calf saffiano tote 
12425,b+,prada,handbag,bag,9,268.28,nappa antique bauletto white leather  others saffiano bauletto handbag
12426,ab,prada,tote bag,bag,15,502.06,leather chain tote bag dark blue fabric  nylon tessuto tote 
12427,b+,prada,tote bag,bag,14,407.34,vitello daino leather satchel brown leather  calf vittelo daino 
12428,b,prada,satchel,bag,8,697.39,saffiano leather galleria satchel yellow leather  others saffiano galleria 
12429,b+,prada,tote bag,bag,14,413.14,vitello daino shopping bag red leather  calf vitello daino tote
12430,ab,prada,tote bag,bag,12,306.6,vitello daino shoulder bag light brown leather  calf vitello daino shoulder
12431,b+,prada,clutch bag,bag,5,229.95,canapa righe pochette clutch brown fabric  canvas canapa righe clutch
12432,ab,prada,clutch bag,bag,10,191.63,printed faille clutch white fabric  others faille clutch 
12433,ab,prada,clutch bag,bag,5,229.95,canapa righe pochette clutch pink fabric  canvas canapa righe clutch
12434,b+,prada,crossbody bag,bag,9,229.95,tessuto crossbody bag black fabric  nylon tessuto crossbody 
12435,b,prada,crossbody bag,bag,4,199.29,saffiano wallet crossbody pink leather  calf saffiano crossbody 
12436,b,prada,satchel,bag,10,597.87,vitello daino leather satchel beige leather  calf vitello daino satchel
12439,b,prada,handbag,bag,8,229.95,vitello shine handbag black fabric  others eco lapin shoulder
12440,b+,prada,satchel,bag,11,383.25,saffiano lux satchel brown leather  calf saffiano lux satchel
12441,b,prada,satchel,bag,9,536.55,saffiano leather galleria satchel beige leather  calf saffiano lux double
12442,ab,prada,tote bag,bag,16,536.55,spazzolato shopping bag gray leather  others spazollato  
12443,b+,prada,shoulder bag,bag,6,220.75,nylon shoulder bag black fabric  nylon tessuto shoulder bag
12444,b,prada,shoulder bag,bag,10,337.23,leather bow satchel beige leather  lambskin nappa antik satchel
12445,b,prada,satchel,bag,10,766.5,saffiano leather galleria satchel blue leather  calf saffiano lux double
12446,ab,prada,tote bag,bag,15,450.7,metallic vitello daino leather tote bag orange leather  calf vitello daino tote
12447,b,prada,tote bag,bag,14,138.61,nylon tote bag orange fabric  nylon tessuto tote 
12464,b+,tods,shoulder bag,bag,15,30.66,suede shoulder bag light green leather  calf leather shoulder bag
14321,b+,celine,tote bag,bag,10,82.2,macadam tote bag beige fabric  coated canvas macadam tote 
14322,b+,chloe,handbag,bag,7,73.07,leather paddington handbag black leather  calf paddington  
14323,ab,chloe,handbag,bag,7,36.54,canvas handbag brown fabric  canvas canvas handbag 
14324,b+,chloe,handbag,bag,5,45.67,leather paddington handbag brown leather  calf paddington  
14331,ab,gucci,boston bag,bag,medium,365.35,gg supreme blooms boston bag brown fabric  coated canvas gg blooms boston
14333,ab,ysl,crossbody bag,bag,5,730.71,small monogram kate bag yellow leather  calf monogram crossbody 
14334,ab,prada,backpack,bag,15,639.37,leather backpack dark blue leather  calf vitello lux backpack
14335,b+,mcm,backpack,bag,16,228.35,canvas backpack red fabric  canvas canvas backpack 
14336,b+,gucci,shoulder bag,bag,small,822.05,small leather sylvie shoulder bag red leather  calf web sylvie 
14337,b+,louis vuitton,backpack,bag,pm,1233.07,monogram macassar christopher pm brown fabric  coated canvas monogram macassar christopher
14338,ab,gucci,shoulder bag,bag,medium,776.38,medium velour marmont shoulder bag black fabric  velour gg marmont matelasse
14339,ab,gucci,belt bag,bag,7,662.93,leather logo belt bag red leather  calf gucci logo belt
14340,a,gucci,clutch bag,bag,9,411.02,gg supreme web clutch bag brown fabric  coated canvas gg supreme web
14341,a,fendi,backpack,bag,18,739.84,monster vocabulary backpack black fabric  nylon vocabulary backpack 
14342,ab,gucci,shoulder bag,bag,small,822.05,small leather sylvie shoulder bag black leather  calf sylvie shoulder bag
14343,b+,bottega veneta,clutch bag,bag,9,274.02,leather intrecciato clutch bag black leather  calf intrecciato clutch 
14344,ab,ysl,clutch bag,bag,6,365.35,metallic leather belle de jour clutch bag gold leather  calf belle du jour
14345,ab,dior,satchel,bag,medium,730.71,medium leather diorissimo satchel pink leather  lambskin diorissimo  
14346,ab,gucci,shoulder bag,bag,medium,1187.4,medium embellished dionysus shoulder bag white leather  calf dionysus shoulder bag
14347,ab,prada,business bag,bag,11,164.41,saffiano leather business bag black leather  calf saffiano business bag
14348,b+,bottega veneta,tote bag,bag,17,274.02,large leather intrecciato tote bag beige leather  calf intrecciato travel bag
14349,ab,gucci,satchel,bag,medium,1004.72,medium leather dionysus bamboo top handle satchel white leather  calf bamboo web dionysus
14628,ab,louis vuitton,shoulder bag,bag,gm,324.64,monogram viva cite gm brown fabric  coated canvas monogram viva-cite 
14629,b,louis vuitton,tote bag,bag,petit,280.55,epi bucket pm red leather  calf epi bucket 
14630,b+,louis vuitton,handbag,bag,mm,225.04,monogram ellipse mm brown canvas  monogram ellipse 
14631,b+,fendi,handbag,bag,8,144.75,knitted wool chef baguette pink fabric  cotton chef  
14632,ab,fendi,handbag,bag,9,218.23,pequin canvas handbag brown fabric  canvas pequin handbag 
14633,b+,fendi,baguette,bag,7,116.59,leopard print canvas chef baguette light brown fabric  canvas chef  
14634,b,louis vuitton,crossbody bag,bag,6,254.47,monogram trotteur brown fabric  coated canvas monogram trotteur 
14635,b,louis vuitton,clutch bag,bag,7,127.27,epi art deco clutch red leather  calf epi pochette art
14636,b+,louis vuitton,baguette,bag,5,91.08,vernis lexington pochette beige leather  patent monogram vernis pochette
14637,ab,fendi,baguette,bag,small,151.5,cheetah print pony hair chef baguette light brown natural material  pony hair chef  
14638,b+,louis vuitton,handbag,bag,14,236.46,monogram excursion brown fabric  coated canvas monogram excursion 
14639,b+,louis vuitton,bucket bag,bag,8,367.74,monogram mini lin noelie light gray fabric  canvas monogram mini lin
14640,b+,louis vuitton,bucket bag,bag,15,198.89,damier geant lv cup volunteer white fabric  canvas lv cup volunteer
14641,b+,louis vuitton,shoulder bag,bag,gm,325.47,monogram viva cite gm brown fabric  coated canvas monogram viva-cite 
14642,b,fendi,baguette,bag,8,218.23,zucca canvas baguette brown fabric  canvas zucca shoulder bag
14643,b+,fendi,baguette,bag,9,180.35,leather mia baguette black leather  others mia  
14644,ab,louis vuitton,travel bag,bag,55,739.65,damier ebene pegase 55 brown fabric  coated canvas damier ebene pegase
14645,b,louis vuitton,belt bag,bag,4,302.99,monogram florentine pochette brown fabric  coated canvas monogram pochette florentine
14646,b+,fendi,baguette,bag,mamma,222.77,denim mamma forever blue fabric  denim mamma baguette 
14647,b+,fendi,crossbody bag,bag,9,164.12,zucchino canvas crossbody bag dark brown fabric  canvas zucchino crossbody 
14648,b+,louis vuitton,shoulder bag,bag,gm,152.48,epi saint jacques gm long strap blue leather  calf epi saint jacques
14649,b,louis vuitton,handbag,bag,mini,307.8,mini speedy brown fabric  coated canvas monogram speedy 
14650,b+,louis vuitton,shoulder bag,bag,pm,292.45,monogram denim baggy pm blue fabric  denim monogram denim baggy
14651,ab,fendi,hobo bag,bag,13,98.32,nylon hobo bag black fabric  nylon nylon hobo 
14652,b+,fendi,shoulder bag,bag,11,276.54,zucca pleated canvas flap shoulder bag brown fabric  canvas zucca shoulder bag
14653,b+,louis vuitton,handbag,bag,8,486.96,monogram multicolore audra white fabric  coated canvas monogram multicolore audra
14654,ab,fendi,tote bag,bag,13,142.2,denim tote bag dark blue fabric  denim twin  
14655,b+,fendi,baguette,bag,6,89.67,velour baguette dark blue fabric  velour velvet shoulder bag
14656,b,louis vuitton,baguette,bag,6,135.08,monogram pochette accessoires brown fabric  coated canvas monogram pochette accessoires
14657,b+,louis vuitton,tote bag,bag,12,91.85,vernis columbus beige leather  patent monogram vernis columbus
14658,b+,louis vuitton,handbag,bag,9,149.29,monogram mini lin marie blue fabric  canvas monogram mini lin
14659,b,louis vuitton,handbag,bag,9,169.33,monogram mini lin marie blue fabric  canvas monogram mini lin
14662,a,burberry,handbag,bag,medium,480.0,medium perforated leather banner tote black leather  calf banner  
14670,ab,miu miu,crossbody bag,bag,6,220.0,metallic matelasse leather crossbody bag silver leather  lambskin matellase crossbody 
14671,a,louis vuitton,clutch bag,bag,7,250.0,monogram partition clutch bag brown fabric  coated canvas monogram partition 
14672,ab,gucci,tote bag,bag,13,260.0,gg supreme tote bag white plastic  vinyl gg supreme tote
14673,ab,balenciaga,crossbody bag,bag,mini,480.0,classic metallic edge mini city dark red leather  calf motocross city metallic
14675,ab,chanel,shoulder bag,bag,8,786.42,caviar leather accordion shoulder bag black leather  calf accordion caviar cc
14676,b+,chanel,baguette,bag,5,416.34,leather lax pochette black leather  calf lax baguette 
14677,b+,chanel,crossbody bag,bag,7,971.46,leather quilted camera bag black leather  lambskin cc timeless crossbody
14678,b+,louis vuitton,hobo bag,bag,12,305.32,mahina surya xl hobo black leather  patent monogram surya mahina
14680,a,gucci,long wallets,slg,6,740.16,leather dionysus wallet on chain red leather  calf dionysus gg velvet
14681,ab,louis vuitton,shoulder bag,bag,mm,1249.02,monogram exotique majestueux shoulder bag brown fabric  coated canvas monogram exotique majestueux
14682,b+,gucci,crossbody bag,bag,5,740.16,mini sylvie chain shoulder bag black leather  calf sylvie web crossbody
14683,ab,chloe,crossbody bag,bag,small,323.82,drew crossbody bag black leather  calf drew  
14684,b+,louis vuitton,long wallets,slg,4,92.52,monogram zippy organizer wallet brown fabric  coated canvas monogram zippy long
14685,ab,prada,satchel,bag,12,259.06,vitello daino leather satchel brown leather  calf vitello daino satchel
14686,ab,gucci,satchel,bag,medium1,1128.74,medium leather dionysus bamboo top handle satchel dark blue leather  calf bamboo dionysus web
14687,b+,louis vuitton,long wallets,slg,4,185.04,damier ebene zippy organizer wallet brown fabric  coated canvas damier ebene zippy
14688,ab,dior,satchel,bag,large,555.12,cannage tweed lady dior black fabric  tweed cannage lady dior
14692,ab,hermes,handbag,bag,35,1341.54,bolide 35 brown leather  calf bolide  
14693,b,chanel,tote bag,bag,9,536.61,wild stitch leather tote bag light blue leather  lambskin sea hit 
14695,ab,gucci,shoulder bag,bag,medium,1202.76,medium embellished dionysus shoulder bag white leather  calf dionysus shoulder bag
14696,ab,fendi,satchel,bag,medium,508.86,studded neoprene 2jours red fabric  others 2jours  
14697,ab,prada,satchel,bag,9,416.34,galleria double zip satchel bag black leather  others saffiano galleria double
14698,ab,prada,crossbody bag,bag,8,110.9,nylon crossbody bag black fabric  nylon tessuto crossbody 
14699,ab,prada,crossbody bag,bag,11,117.66,python-trimmed nylon crossbody bag beige fabric  nylon tessuto crossbody 
14700,b+,prada,shoulder bag,bag,6,110.76,nylon shoulder bag black fabric  nylon tessuto easy 
14701,ab,prada,crossbody bag,bag,10,137.68,nylon crossbody bag pink fabric  nylon tessuto crossbody 
14702,b,prada,shoulder bag,bag,9,128.93,nylon shoulder bag black fabric  nylon tessuto shoulder 
14703,b,chanel,shoulder bag,bag,9,1370.97,surpique maxi lambskin flap bag black leather  lambskin cc surpique shoulder
14704,b+,fendi,shoulder bag,bag,7,100.75,suede shoulder bag dark brown leather  suede suede leather shoulder
14705,b+,louis vuitton,travel bag,bag,65,429.07,monogram sirius 65 brown fabric  coated canvas monogram sirius 
14706,b+,louis vuitton,crossbody bag,bag,pm,273.56,monogram pochette twin pm brown fabric  coated canvas monogram pochette twin
14707,ab,prada,satchel,bag,8,191.33,canapa nylon bow satchel pink fabric  nylon tessuto fiocco bow
14708,b+,prada,shoulder bag,bag,9,122.83,leather shoulder bag dark brown leather  calf calf leather shoulder
14709,ab,prada,baguette,bag,4,141.95,leather baguette red leather  calf leather baguette 
14710,b+,louis vuitton,tote bag,bag,mm,586.21,damier azur neverfull mm white fabric  coated canvas damier azur neverfull
14711,ab,louis vuitton,crossbody bag,bag,5,537.35,monogram eva brown fabric  coated canvas monogram eva 
14712,b+,louis vuitton,crossbody bag,bag,10,333.56,monogram drouot brown fabric  coated canvas monogram drouot 
14713,b+,fendi,crossbody bag,bag,6,125.18,zucchino canvas crossbody bag blue fabric  canvas zucchino crossbody 
14714,ab,louis vuitton,pouch,slg,23,132.3,monogram trousse toilette 23 brown fabric  coated canvas monogram trousse toilette
14715,b+,louis vuitton,crossbody bag,bag,gm,278.61,monogram pochette twin gm brown fabric  coated canvas monogram pochette twin
14716,ab,louis vuitton,handbag,bag,11,539.39,damier ebene nolita brown fabric  coated canvas damier ebene nolita
14717,ab,fendi,tote bag,bag,m,230.82,zucchino canvas tote bag light pink fabric  canvas zucchino tote 
14718,ab,louis vuitton,crossbody bag,bag,pm,366.07,monogram pochette twin pm brown fabric  coated canvas monogram pochette twin
14719,ab,louis vuitton,crossbody bag,bag,gm,275.8,monogram pochette twin gm brown fabric  coated canvas monogram pochette twin
14720,b+,fendi,baguette,bag,5,100.75,denim baguette dark blue fabric  denim denim baguette 
14721,b,fendi,baguette,bag,6,248.32,zucchino canvas baguette dark blue fabric  canvas zucchino baguette 
14722,b,fendi,baguette,bag,6,65.13,zucchino canvas baguette black fabric  canvas zucchino baguette 
14723,ab,louis vuitton,baguette,bag,6,218.81,monogram pochette accessoires brown fabric  coated canvas monogram pochette accessoires
14724,ab,louis vuitton,handbag,bag,mini,366.38,monogram mini speedy brown fabric  coated canvas monogram speedy 
14725,ab,louis vuitton,shoulder bag,bag,8,161.82,vernis thompson street silver leather  patent monogram vernis thompson
14726,ab,fendi,backpack,bag,12,254.43,pequin backpack brown fabric  coated canvas pequin backpack 
14727,ab,louis vuitton,crossbody bag,bag,pm,278.61,monogram pochette twin pm brown fabric  coated canvas monogram pochette twin
14728,ab,louis vuitton,crossbody bag,bag,pm,292.59,monogram pochette twin pm brown fabric  coated canvas monogram pochette twin
14729,b+,louis vuitton,crossbody bag,bag,mm,484.43,monogram odeon mm brown fabric  coated canvas monogram odeon 
14730,ab,louis vuitton,tote bag,bag,15,386.73,monogram sac plat brown fabric  coated canvas monogram sac plat
14731,a,louis vuitton,shoulder bag,bag,gm,897.63,monogram multicolore annie gm white fabric  coated canvas monogram multicolore annie
14732,ab,louis vuitton,tote bag,bag,pm,543.05,damier ebene neverfull pm brown fabric  coated canvas damier ebene neverfull
14733,ab,louis vuitton,vanity bag,bag,7,330.58,epi cannes vanity case black leather  calf epi cannes 
14734,ab,louis vuitton,travel bag,bag,12,660.5,1995 lv cup travel bag red fabric  coated canvas 1995 americas cup
14735,ab,louis vuitton,tote bag,bag,pm,551.4,damier ebene neverfull pm brown fabric  coated canvas damier ebene neverfull
14737,b+,fendi,shoulder bag,bag,9,176.1,suede mamma forever dark brown leather  suede mamma baguette 
14742,ab,fendi,tote bag,bag,15,131.09,canvas tote bag beige fabric  canvas canvas tote 
14743,b+,louis vuitton,travel bag,bag,55,560.96,monogram keepall bandouliere 55 brown fabric  coated canvas monogram keepall bandouliere
14745,b+,louis vuitton,tote bag,bag,mm,641.16,damier azur neverfull mm white fabric  coated canvas damier azur neverfull
14746,ab,louis vuitton,handbag,bag,pm,1038.07,monogram tournelle pm brown fabric  coated canvas monogram tournelle 
14747,b+,louis vuitton,handbag,bag,9,944.44,damier ebene kensington bowling brown fabric  coated canvas damier ebene kensington
14748,b+,louis vuitton,tote bag,bag,mm,529.42,monogram neverfull mm brown fabric  coated canvas monogram neverfull 
14749,b+,louis vuitton,tote bag,bag,mm,573.99,monogram neverfull mm brown fabric  coated canvas monogram neverfull 
14752,ab,fendi,baguette,bag,4,131.69,cotton mamma baguette gray fabric  cotton baguette  
14754,b,chanel,shoulder bag,bag,maxi,1384.91,jumbo classic single flap bag beige leather  lambskin timeless classic flap
14755,b,louis vuitton,crossbody bag,bag,28,341.95,monogram nile brown fabric  coated canvas monogram nile 
14756,b+,gucci,shoulder bag,bag,8,89.56,leather jackie shoulder bag black leather  calf jackie  
14757,b,ysl,bucket bag,bag,10,217.79,leather drawstring bucket bag brown leather  calf calf leather bucket
14758,ab,burberry,crossbody bag,bag,11,61.06,canvas crossbody bag dark blue fabric  canvas canvas crossbody 
14759,b+,cartier,shoulder bag,bag,8,92.61,leather shoulder bag light brown leather  calf must de cartier
14760,b,cartier,shoulder bag,bag,7,147.57,leather must de cartier shoulder bag dark red leather  calf must de cartier
14761,ab,cartier,shoulder bag,bag,7,92.61,leather tassel must de cartier shoulder bag light brown leather  calf must de cartier
14762,b+,celine,shoulder bag,bag,10,147.57,macadam shoulder bag brown fabric  coated canvas macadam crossbody 
14763,b,celine,shoulder bag,bag,7,217.79,leather shoulder bag black leather  calf calf leather crossbody
14764,b,celine,travel bag,bag,13,89.56,macadam travel bag brown fabric  coated canvas macadam travel bag
14765,b,celine,crossbody bag,bag,8,147.57,macadam crossbody bag beige plastic  vinyl macadam crossbody 
14766,b,celine,tote bag,bag,9,135.36,macadam tote bag brown fabric  coated canvas macadam tote 
14767,b,celine,travel bag,bag,10,112.97,macadam travel bag brown fabric  coated canvas macadam travel bag
14768,ab,celine,boston bag,bag,13,153.68,macadam travel bag brown fabric  coated canvas macadam travel bag
14769,b,celine,handbag,bag,9,153.68,macadam handbag brown fabric  coated canvas macadam satchel 
14770,b,celine,boston bag,bag,6,158.76,macadam boston bag brown plastic  vinyl macadam boston 
14771,b,celine,travel bag,bag,10,158.76,macadam travel bag brown fabric  coated canvas macadam travel bag
14772,b+,celine,handbag,bag,10,205.58,macadam handbag beige fabric  coated canvas macadam handbag 
14773,ab,celine,shoulder bag,bag,11,194.38,leather tassel shoulder bag black leather  calf calf leather crossbody
14774,b,celine,shoulder bag,bag,8,170.98,macadam crossbody bag beige fabric  coated canvas macadam crossbody 
14775,b,celine,boston bag,bag,6,124.16,macadam boston bag brown plastic  vinyl macadam boston 
14776,b+,celine,handbag,bag,11,170.98,leather handbag black fabric  nylon nylon shoulder bag
14777,ab,celine,travel bag,bag,11,141.46,macadam travel bag brown fabric  coated canvas macadam travel bag
14778,b,celine,shoulder bag,bag,12,73.28,denim shoulder bag blue fabric  denim macadam bittersweet 
14779,b,celine,boston bag,bag,8,100.75,macadam boston bag brown fabric  coated canvas macadam boston 
14780,b+,chloe,handbag,bag,7,106.86,leather paddington handbag black leather  calf paddington  
14781,ab,chloe,handbag,bag,7,118.06,leather paddington handbag black leather  calf paddington  
14782,b+,chloe,handbag,bag,7,130.27,leather paddington handbag black leather  calf paddington  
14783,b+,chloe,satchel,bag,12,147.57,leather alice satchel black leather  lambskin alice  
14784,ab,dior,handbag,bag,13,203.54,dior oblique embroidered handbag beige fabric  canvas dior oblique tote
14785,b,fendi,shoulder bag,bag,7,158.76,suede shoulder bag black leather  suede ff lock shoulder
14786,b+,fendi,handbag,bag,8,153.68,leather chef handbag red leather  calf chef  
14787,b,fendi,tote bag,bag,13,95.67,zucchino canvas tote bag beige fabric  canvas zucchino tote 
14788,ab,givenchy,tote bag,bag,9,55.97,canvas tote bag dark brown fabric  canvas canvas tote 
14789,b,gucci,shoulder bag,bag,10,78.36,gg canvas shoulder bag dark brown fabric  canvas gg canvas shoulder
14790,b+,gucci,shoulder bag,bag,10,106.86,canvas jackie shoulder bag black fabric  canvas jackie  
14791,b+,gucci,shoulder bag,bag,8,164.87,gg canvas jackie shoulder bag black fabric  canvas gg canvas jackie
14792,ab,gucci,handbag,bag,11,194.38,bamboo leather handbag black leather  calf bamboo handbag 
14793,ab,gucci,shoulder bag,bag,8,164.87,leather jackie shoulder bag black leather  calf jackie  
14794,b+,gucci,shoulder bag,bag,9,118.06,suede shoulder bag black leather  suede suede leather shoulder
14795,ab,gucci,backpack,bag,9,275.8,bamboo leather drawstring backpack black leather  calf bamboo backpack 
